tensor(4.2736e+11, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(2.6831e+11, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(4.4266e+11, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(3.3340e+11, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(7.7413e+11, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.3565, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.7757, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.7841, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.2138, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.6156, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.0956, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(0.3534, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.6528, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(1.4302, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.5607, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.0475, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1093, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.4888, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.4896, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.6766, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.2237, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(0.2403, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.5064, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.0528, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.7109, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.3205, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(0.3607, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.5567, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.0279, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.7618, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.4806, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1481, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.7270, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.2288, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.8289, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.6739, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1385, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9000, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.5361, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.8946, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.7347, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.2597, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9886, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.7472, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.0214, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.8687, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.3669, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0678, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.8594, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.0875, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.9954, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.4394, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0968, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.8381, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.1590, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.0710, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.5474, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.1302, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.9114, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.2225, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.1144, device='cuda:0', grad_fn=<MeanBackward0>), 0
